unitName,headCategory,headCategoryName,commodityCode,commodityNameTH,commodityNameEN,year,month,typeName,priceCur,YearBase,StartYear,StartMonth,EndYear,EndMonth
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,,2565,3,พระนครศรีอยุธยา,2340.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,,2565,2,พระนครศรีอยุธยา,2340.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,,2565,1,พระนครศรีอยุธยา,2340.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,,2565,7,พระนครศรีอยุธยา,2340.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,,2565,8,พระนครศรีอยุธยา,2340.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,,2565,9,พระนครศรีอยุธยา,2340.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,,2565,10,พระนครศรีอยุธยา,2340.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,5,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,6,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,7,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,9,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,10,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,11,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,12,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,8,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,1,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,2,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,3,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,,2565,4,พระนครศรีอยุธยา,2400.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,,2565,4,พระนครศรีอยุธยา,2470.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,,2565,12,พระนครศรีอยุธยา,2470.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,,2565,11,พระนครศรีอยุธยา,2470.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,,2565,10,พระนครศรีอยุธยา,2470.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,,2565,9,พระนครศรีอยุธยา,2470.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,,2565,8,พระนครศรีอยุธยา,2470.0,2558,2565,1,2565,12
ลบ.ม.,01,วัสดุเทหล่อกับที่,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,,2565,7,พระนครศรีอยุธยา,2470.0,2558,2565,1,2565,12
